year,pop,arson,arson_rate,violent,violent_rate,larceny,larceny_rate
1979,505451,NA,NA,NA,NA,NA,NA
1980,450790,450,99.82475210186563,10983,2436.3894496328667,39402,8740.655294039352
1981,454166,443,97.54142758374691,10364,2281.985001078901,38441,8464.085818841568
1982,455362,364,79.93640224700349,10069,2211.207786332632,37817,8304.821219161899
1983,457262,315,68.88829598785816,8461,1850.3614995341838,32167,7034.697831877566
1984,442528,396,89.48586304143467,7729,1746.5561501193145,29359,6634.382457155254
1985,431109,427,99.04687677594298,8642,2004.597445193675,30109,6984.080592147229
1986,434298,533,122.72679128156243,9889,2277.0079530644857,32102,7391.698787468512
1987,429414,563,131.10890655637684,9778,2277.0566399791346,36130,8413.79181861793
1988,425187,657,154.52024638570794,10481,2465.0330325245127,37520,8824.352578982895
1989,405066,601,148.37088276972148,12644,3121.466625191944,39821,9830.743631901962
1990,396685,687,173.18527294956954,13682,3449.0842860203943,37694,9502.249896013209
1991,399858,867,216.82697357561935,14076,3520.2496886394674,41925,10484.972165118617
1992,402573,935,232.2560131951224,13247,3290.5833227762414,38965,9678.989897484431
1993,387053,806,208.2402151643315,14998,3874.9215223754886,43263,11177.538993367833
1994,390437,854,218.7292700230767,14644,3750.669122035053,42698,10935.951254619824
1995,371425,769,207.04045231204148,12452,3352.493773978596,41728,11234.569563168876
1996,374041,784,209.60269061413052,10203,2727.775832061191,40584,10850.147443729431
1997,377221,837,221.88584410730053,9591,2542.541374949963,35098,9304.360043581879
1998,344153,661,192.0657382036478,8848,2570.94954860193,37069,10771.081466673253
1999,340836,678,198.922649015949,7611,2233.038763510897,35036,10279.430576582286
2000,341708,796,232.94742879885752,7936,2322.4507474217753,37921,11097.48674306718
2001,350336,711,202.94802703690172,7664,2187.614176105225,39983,11412.758037997808
2002,353004,585,165.72050175068838,7499,2124.3385344075423,38689,10959.9324653545
2003,340256,470,138.1312893821123,6325,1858.8944794507663,36724,10793.049938869557
2004,335143,576,171.86693441307142,6897,2057.92751153985,35136,10483.882999197358
2005,346005,535,154.6220430340602,8323,2405.4565685466973,33997,9825.58055519429
2006,346879,431,124.25081945000994,8605,2480.692114541382,35388,10201.828303241187
2007,348197,410,117.74943494630914,7654,2198.1809148269513,29373,8435.74183579985
2008,356204,325,91.23985132115305,7383,2072.688684012532,25803,7243.882718891421
2009,355208,256,72.07044886376433,7353,2070.054728497106,25482,7173.824913853291
2010,355151,250,70.39259357287463,6205,1747.1441724787485,22744,6404.036592885842
2011,320454,191,59.60293833124255,5950,1856.740749062268,20781,6484.86210189294
2012,318667,196,61.50621181358597,5661,1776.4625769219906,18787,5895.495925213468
2013,318563,179,56.189827443865106,5077,1593.7192957123082,18239,5725.398115914278
2014,318574,190,59.64077420002888,5348,1678.7308443250233,17272,5421.660273594204
2015,317095,223,70.32592756114099,5762,1817.1210520506472,17616,5555.4329144262765
2016,314507,269,85.53068771124332,6017,1913.1529663886656,17356,5518.478126083044
2017,310284,201,64.77936342189736,6461,2082.2859058153176,17551,5656.430882675227
2018,306875,188,61.26272912423625,5525,1800.4073319755598,16615,5414.256619144603
